RK,TEAM,YDS,YDSG,PASS,P YDSG,RUSH,R YDSG,PTS,PTSG,CONFERENCE,Wins,Losses,Winning Percentage
1,Baylor,8044,619,4668,359.1,3376,259.7,681,52.4,Big 12,11,2,0.846153846
2,Oregon,7345,565,3789,291.5,3556,273.5,591,45.5,Pac 12,11,2,0.846153846
3,Northern Illinois,7277,520,3116,222.6,4161,297.2,555,39.6,MAC,12,2,0.857142857
4,Florida State,7267,519,4423,315.9,2844,203.1,723,51.6,ACC,14,0,1
5,Ohio State,7167,512,2846,203.3,4321,308.6,637,45.5,Big 10,12,2,0.857142857
6,Fresno State,7100,546,5133,394.8,1967,151.3,564,43.4,Mountain West,11,2,0.846153846
7,Auburn,7018,501,2422,173,4596,328.3,553,39.5,SEC,12,2,0.857142857
8,Marshall,7005,500,4122,294.4,2883,205.9,590,42.1,C-USA,10,4,0.714285714
9,Texas A&M,6999,538,4593,353.3,2406,185.1,575,44.2,SEC,9,4,0.692307692
10,Missouri,6870,491,3540,252.9,3330,237.9,548,39.1,SEC,12,2,0.857142857
11,Texas Tech,6643,511,5107,392.8,1536,118.2,465,35.8,Big 12,8,5,0.615384615
12,Clemson,6600,508,4330,333.1,2270,174.6,522,40.2,ACC,10,2,0.833333333
13,Colorado State,6591,471,3730,266.4,2861,204.4,507,36.2,Mountain West,8,6,0.571428571
14,Washington,6491,499,3384,260.3,3107,239,493,37.9,Pac 12,9,4,0.692307692
15,Bowling Green,6432,459,3725,266.1,2707,193.4,487,34.8,MAC,10,4,0.714285714
16,BYU,6417,494,2942,226.3,3475,267.3,392,30.2,Independent,8,5,0.615384615
17,Arizona State,6402,457,3723,265.9,2679,191.4,556,39.7,Pac 12,10,4,0.714285714
18,Georgia,6294,484,4085,314.2,2209,169.9,477,36.7,SEC,8,5,0.615384615
19,Wisconsin,6251,481,2562,197.1,3689,283.8,453,34.8,Big 10,9,4,0.692307692
20,Old Dominion,6228,519,4313,359.4,1915,159.6,508,42.3,C-USA,8,4,0.666666667
21,Ball State,6202,477,4214,324.2,1988,152.9,501,38.5,MAC,10,3,0.769230769
22,Boise State,6188,476,3610,277.7,2578,198.3,488,37.5,Mountain West,8,5,0.615384615
23,Ole Miss,6153,473,3683,283.3,2470,190,390,30,SEC,8,5,0.615384615
24,Cincinnati,6137,472,3947,303.6,2190,168.5,417,32.1,AAC,9,4,0.692307692
25,Indiana,6102,509,3680,306.7,2422,201.8,461,38.4,Big 10,5,7,0.416666667
26,East Carolina,6086,468,4265,328.1,1821,140.1,522,40.2,AAC,10,3,0.769230769
27,Oregon State,6071,467,4844,372.6,1227,94.4,452,34.8,Pac 12,7,6,0.538461538
28,Louisville,5991,461,4082,314,1909,146.8,457,35.2,AAC,12,1,0.923076923
29,Duke,5966,426,3474,248.1,2492,178,459,32.8,ACC,10,4,0.714285714
30,Arizona,5960,458,2516,193.5,3444,264.9,435,33.5,Pac 12,8,5,0.615384615
31,San Jose State,5919,493,4271,355.9,1648,137.3,389,32.4,Mountain West,6,6,0.5
32,Alabama,5903,454,3230,248.5,2673,205.6,496,38.2,SEC,11,2,0.846153846
33,LSU,5893,453,3263,251,2630,202.3,465,35.8,SEC,10,3,0.769230769
34,South Carolina,5880,452,3300,253.8,2580,198.5,443,34.1,SEC,11,2,0.846153846
35,Oklahoma State,5834,449,3599,276.8,2235,171.9,508,39.1,Big 12,10,2,0.833333333
36,UCLA,5830,448,3274,251.8,2556,196.6,480,36.9,Pac 12,9,3,0.75
37,Utah State,5761,412,3268,233.4,2493,178.1,445,31.8,Mountain West,9,5,0.642857143
38,UCF,5740,442,3661,281.6,2079,159.9,450,34.6,AAC,12,1,0.923076923
39,Rice,5678,406,2495,178.2,3183,227.4,415,29.6,C-USA,10,4,0.714285714
40,Stanford,5675,405,2771,197.9,2904,207.4,452,32.3,Pac 12,11,3,0.785714286
41,Wyoming,5674,473,3389,282.4,2285,190.4,375,31.3,Mountain West,5,7,0.416666667
42,Mississippi State,5647,434,3178,244.5,2469,189.9,360,27.7,SEC,7,6,0.538461538
43,USC,5599,400,3180,227.1,2419,172.8,416,29.7,Pac 12,10,4,0.714285714
44,Georgia Tech,5586,430,1695,130.4,3891,299.3,456,35.1,ACC,7,6,0.538461538
